"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","one_se_threshold","eligible_one_se","selected_one_se"
"continuous","global_after_external",,,1,0,1,5.23207925062929,0.132016963151767,0.0590397807580871,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,2,0.25,1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,3,0.5,1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,4,0.75,1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,5,1,1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,6,0,0.1,4.68746805038217,0.13053793001161,0.0583783370296141,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,7,0.25,0.1,5.13442161183088,0.123151899862873,0.0550752039303262,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,8,0.5,0.1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,9,0.75,0.1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,10,1,0.1,5.35016651960534,0.138420918352206,0.0619037165886963,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,11,0,0.01,4.13881024438333,0.216921387042557,0.0970101934401398,5,5,4.18836309121038,TRUE,TRUE
"continuous","global_after_external",,,12,0.25,0.01,4.19181165103869,0.198772558005546,0.088893790352384,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,13,0.5,0.01,4.27169525063108,0.190291468819394,0.0851009319636893,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,14,0.75,0.01,4.35255933778444,0.17870326649904,0.0799185303386227,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,15,1,0.01,4.43706755246037,0.158620645717818,0.0709373092919905,5,5,4.18836309121038,FALSE,FALSE
"continuous","global_after_external",,,16,0,0.001,4.07607626218548,0.266832498010536,0.119331120831527,5,5,4.18836309121038,TRUE,FALSE
"continuous","global_after_external",,,17,0.25,0.001,4.06898445709959,0.266938740932786,0.119378634110783,5,5,4.18836309121038,TRUE,FALSE
"continuous","global_after_external",,,18,0.5,0.001,4.06906063809888,0.26863749639512,0.120138340648969,5,5,4.18836309121038,TRUE,FALSE
"continuous","global_after_external",,,19,0.75,0.001,4.07144787789162,0.27050266278053,0.120972468414393,5,2,4.18836309121038,TRUE,FALSE
"continuous","global_after_external",,,20,1,0.001,4.07456058275036,0.269151992571854,0.120368430334037,5,5,4.18836309121038,TRUE,FALSE
"logistic","global_after_external",,,1,0,1,0.578083161819044,0.0123148848857842,0.00550738394793964,5,5,0.492285796982042,FALSE,FALSE
